periódicos,scielo_url,publicador,status,"revista brasileira?"
"Abanico veterinario ",http://www.scielo.org.mx/scielo.php?script=sci_serial&pid=2448-6132&lng=en,"Sergio Martínez González",current,não
"Acta Amazonica ",http://www.scielo.br/scielo.php?script=sci_serial&pid=0044-5967&lng=en,"Instituto Nacional de Pesquisas da Amazônia",current,sim
"Acta bioethica ",http://www.scielo.cl/scielo.php?script=sci_serial&pid=1726-569X&lng=en,"Centro Interdisciplinario de Estudios en Bioética, Universidad de Chile",current,não
"Acta Biológica Colombiana ",http://www.scielo.org.co/scielo.php?script=sci_serial&pid=0120-548X&lng=en,"Universidad Nacional de Colombia, Facultad de Ciencias, Departamento de Biología",current,não
"Acta bioquímica clínica latinoamericana ",http://www.scielo.org.ar/scielo.php?script=sci_serial&pid=0325-2957&lng=en,"Federación Bioquímica de la Provincia de Buenos Aires",current,não
"Acta Botanica Brasilica ",http://www.scielo.br/scielo.php?script=sci_serial&pid=0102-3306&lng=en,"Sociedade Botânica do Brasil",current,sim
"Acta botánica mexicana ",http://www.scielo.org.mx/scielo.php?script=sci_serial&pid=0187-7151&lng=en,"Instituto de Ecología A.C., Centro Regional del Bajío",current,não
"Acta Botánica Venezuelica ",http://www.scielo.org.ve/scielo.php?script=sci_serial&pid=0084-5906&lng=en,"Fundación Instituto Botánico de Venezuela Dr. Tobías Lasser",current,não
"Acta Limnologica Brasiliensia ",http://www.scielo.br/scielo.php?script=sci_serial&pid=2179-975X&lng=en,"Associação Brasileira de Limnologia",current,sim
"Acta toxicológica argentina ",http://www.scielo.org.ar/scielo.php?script=sci_serial&pid=1851-3743&lng=en,"Asociación Toxicológica Argentina",current,não
"Acta zoológica mexicana ",http://www.scielo.org.mx/scielo.php?script=sci_serial&pid=0065-1737&lng=en,"Instituto de Ecología A.C.",current,não
"Actualidades Biológicas ",http://www.scielo.org.co/scielo.php?script=sci_serial&pid=0304-3584&lng=en,"Instituto de Biología, Universidad de Antioquia",current,não
"African Journal of Primary Health Care & Family Medicine ",http://www.scielo.org.za/scielo.php?script=sci_serial&pid=2071-2936&lng=en,"AOSIS Publishing",current,não
"Agrociencia Uruguay ",http://www.scielo.edu.uy/scielo.php?script=sci_serial&pid=2301-1548&lng=en,"Facultad de Agronomía - Instituto Nacional de Investigación Agropecuaria",current,não
"Aletheia ",http://pepsic.bvsalud.org/scielo.php?script=sci_serial&pid=1413-0394&lng=en,"Universidade Luterana do Brasil",current,sim
"Anais da Academia Brasileira de Ciências ",http://www.scielo.br/scielo.php?script=sci_serial&pid=0001-3765&lng=en,"Academia Brasileira de Ciências",current,sim
"Anales del Instituto de la Patagonia ",http://www.scielo.cl/scielo.php?script=sci_serial&pid=0718-686X&lng=en,"Universidad de Magallanes",current,não
"Arnaldoa ",http://www.scielo.org.pe/scielo.php?script=sci_serial&pid=2413-3299&lng=en,"Universidad Privada Antenor Orrego, Museo de Historia Natural",current,não
"Arquivos Brasileiros de Psicologia ",http://pepsic.bvsalud.org/scielo.php?script=sci_serial&pid=1809-5267&lng=en,"Universidade Federal do Rio de Janeiro",current,sim
"Avaliação Psicológica ",http://pepsic.bvsalud.org/scielo.php?script=sci_serial&pid=1677-0471&lng=en,"Universidade São Francisco",current,sim
"BAG. Journal of basic and applied genetics ",http://www.scielo.org.ar/scielo.php?script=sci_serial&pid=1852-6233&lng=en,"Sociedad Argentina de Genética",current,não
"Biological Research ",http://www.scielo.cl/scielo.php?script=sci_serial&pid=0716-9760&lng=en,"Sociedad de Biología de Chile",current,não
