,periódicos,scielo_url,publicador,status,revista brasileira?,identificador
0,Abanico veterinario ,http://www.scielo.org.mx/scielo.php?script=sci_serial&pid=2448-6132&lng=en,Sergio Martínez González,current,não,2448-6132
1,Acta Amazonica ,http://www.scielo.br/scielo.php?script=sci_serial&pid=0044-5967&lng=en,Instituto Nacional de Pesquisas da Amazônia,current,sim,0044-5967
2,Acta bioethica ,http://www.scielo.cl/scielo.php?script=sci_serial&pid=1726-569X&lng=en,"Centro Interdisciplinario de Estudios en Bioética, Universidad de Chile",current,não,1726-569X
3,Acta Biológica Colombiana ,http://www.scielo.org.co/scielo.php?script=sci_serial&pid=0120-548X&lng=en,"Universidad Nacional de Colombia, Facultad de Ciencias, Departamento de Biología",current,não,0120-548X
4,Acta bioquímica clínica latinoamericana ,http://www.scielo.org.ar/scielo.php?script=sci_serial&pid=0325-2957&lng=en,Federación Bioquímica de la Provincia de Buenos Aires,current,não,0325-2957
5,Acta Botanica Brasilica ,http://www.scielo.br/scielo.php?script=sci_serial&pid=0102-3306&lng=en,Sociedade Botânica do Brasil,current,sim,0102-3306
6,Acta botánica mexicana ,http://www.scielo.org.mx/scielo.php?script=sci_serial&pid=0187-7151&lng=en,"Instituto de Ecología A.C., Centro Regional del Bajío",current,não,0187-7151
7,Acta Botánica Venezuelica ,http://www.scielo.org.ve/scielo.php?script=sci_serial&pid=0084-5906&lng=en,Fundación Instituto Botánico de Venezuela Dr. Tobías Lasser,current,não,0084-5906
8,Acta Limnologica Brasiliensia ,http://www.scielo.br/scielo.php?script=sci_serial&pid=2179-975X&lng=en,Associação Brasileira de Limnologia,current,sim,2179-975X
9,Acta toxicológica argentina ,http://www.scielo.org.ar/scielo.php?script=sci_serial&pid=1851-3743&lng=en,Asociación Toxicológica Argentina,current,não,1851-3743
10,Acta zoológica mexicana ,http://www.scielo.org.mx/scielo.php?script=sci_serial&pid=0065-1737&lng=en,Instituto de Ecología A.C.,current,não,0065-1737
11,Actualidades Biológicas ,http://www.scielo.org.co/scielo.php?script=sci_serial&pid=0304-3584&lng=en,"Instituto de Biología, Universidad de Antioquia",current,não,0304-3584
12,African Journal of Primary Health Care & Family Medicine ,http://www.scielo.org.za/scielo.php?script=sci_serial&pid=2071-2936&lng=en,AOSIS Publishing,current,não,2071-2936
13,Agrociencia Uruguay ,http://www.scielo.edu.uy/scielo.php?script=sci_serial&pid=2301-1548&lng=en,Facultad de Agronomía - Instituto Nacional de Investigación Agropecuaria,current,não,2301-1548
14,Aletheia ,http://pepsic.bvsalud.org/scielo.php?script=sci_serial&pid=1413-0394&lng=en,Universidade Luterana do Brasil,current,sim,1413-0394
15,Anais da Academia Brasileira de Ciências ,http://www.scielo.br/scielo.php?script=sci_serial&pid=0001-3765&lng=en,Academia Brasileira de Ciências,current,sim,0001-3765
16,Anales del Instituto de la Patagonia ,http://www.scielo.cl/scielo.php?script=sci_serial&pid=0718-686X&lng=en,Universidad de Magallanes,current,não,0718-686X
17,Arnaldoa ,http://www.scielo.org.pe/scielo.php?script=sci_serial&pid=2413-3299&lng=en,"Universidad Privada Antenor Orrego, Museo de Historia Natural",current,não,2413-3299
18,Arquivos Brasileiros de Psicologia ,http://pepsic.bvsalud.org/scielo.php?script=sci_serial&pid=1809-5267&lng=en,Universidade Federal do Rio de Janeiro,current,sim,1809-5267
19,Avaliação Psicológica ,http://pepsic.bvsalud.org/scielo.php?script=sci_serial&pid=1677-0471&lng=en,Universidade São Francisco,current,sim,1677-0471
20,BAG. Journal of basic and applied genetics ,http://www.scielo.org.ar/scielo.php?script=sci_serial&pid=1852-6233&lng=en,Sociedad Argentina de Genética,current,não,1852-6233
21,Biological Research ,http://www.scielo.cl/scielo.php?script=sci_serial&pid=0716-9760&lng=en,Sociedad de Biología de Chile,current,não,0716-9760
22,Biosalud ,http://www.scielo.org.co/scielo.php?script=sci_serial&pid=1657-9550&lng=en,Universidad de Caldas,current,não,1657-9550
23,Biota colombiana ,http://www.scielo.org.co/scielo.php?script=sci_serial&pid=0124-5376&lng=en,Instituto Alexander von Humboldt,current,não,0124-5376
24,Biota Neotropica ,http://www.scielo.br/scielo.php?script=sci_serial&pid=1676-0603&lng=en,Instituto Virtual da Biodiversidade | BIOTA - FAPESP,current,sim,1676-0603
25,Biotecnología en el Sector Agropecuario y Agroindustrial ,http://www.scielo.org.co/scielo.php?script=sci_serial&pid=1692-3561&lng=en,Taller Editorial Universidad del Cauca,current,não,1692-3561
26,Biotecnología Vegetal ,http://scielo.sld.cu/scielo.php?script=sci_serial&pid=2074-8647&lng=en,Instituto de Biotecnología de las Plantas,current,não,2074-8647
27,Boletín Científico. Centro de Museos. Museo de Historia Natural ,http://www.scielo.org.co/scielo.php?script=sci_serial&pid=0123-3068&lng=en,Universidad de Caldas. Vicerrectoría de Investigaciones y Postgrados,current,não,0123-3068
28,Boletín de Investigaciones Marinas y Costeras - INVEMAR ,http://www.scielo.org.co/scielo.php?script=sci_serial&pid=0122-9761&lng=en,INSTITUTO DE INVESTIGACIONES MARINAS Y COSTERAS JOSE BENITO VIVES DE ANDRÃ‰IS (INVEMAR),current,não,0122-9761
29,Boletín de la Sociedad Argentina de Botánica ,http://www.scielo.org.ar/scielo.php?script=sci_serial&pid=1851-2372&lng=en,Sociedad Argentina de Botánica,current,não,1851-2372
30,Boletín de Malariología y Salud Ambiental ,http://www.scielo.org.ve/scielo.php?script=sci_serial&pid=1690-4648&lng=en,Instituto de Altos Estudios en Salud PÃºblica Dr. Arnoldo Gabaldon,current,não,1690-4648
31,Botanical Sciences ,http://www.scielo.org.mx/scielo.php?script=sci_serial&pid=2007-4298&lng=en,Sociedad Botánica de México A.C.,current,não,2007-4298
